16.249601ms,81.836288ms
4.139499ms,82.849363ms
11.085227ms,85.423201ms
15.385222ms,103.535756ms
7.916306ms,112.873326ms
5.317569ms,95.421455ms
7.562114ms,102.914671ms
6.645537ms,69.125302ms
8.980079ms,80.490222ms
16.565693ms,83.713543ms
5.933954ms,97.546004ms
5.214272ms,103.985346ms
21.657267ms,153.352232ms
9.569465ms,128.201243ms
18.455547ms,135.944041ms
70.925542ms,184.713123ms
10.925229ms,139.53614ms
29.207376ms,154.795061ms
12.775684ms,151.126253ms
23.606215ms,197.6437ms
36.115705ms,133.897881ms
5.417265ms,81.681374ms
9.360168ms,133.864481ms
8.493589ms,186.942265ms
37.10348ms,125.837881ms
10.298845ms,140.305322ms
104.567307ms,147.926233ms
80.081015ms,199.139663ms
13.919654ms,387.206689ms
19.652709ms,128.909678ms
37.909654ms,253.976468ms
26.764331ms,220.378891ms
32.853479ms,273.21457ms
20.651084ms,177.778755ms
24.628684ms,135.306218ms
21.157971ms,138.400441ms
57.924153ms,207.229219ms
88.987876ms,394.741332ms
64.194296ms,162.894527ms
32.610585ms,377.031574ms
87.743207ms,212.0036ms
34.316242ms,238.133433ms
16.292889ms,232.63274ms
81.656845ms,421.611502ms
38.997318ms,260.316042ms
26.245938ms,219.196977ms
34.360534ms,126.342017ms
75.119308ms,197.181632ms
12.286491ms,221.946808ms
38.423432ms,178.973891ms
49.978941ms,171.738573ms
26.935821ms,134.275517ms
10.391939ms,101.250648ms
9.903851ms,93.096554ms
8.325988ms,108.810369ms
10.721179ms,272.727034ms
12.835395ms,149.763812ms
13.3639ms,162.95021ms
40.698302ms,262.229748ms
53.401497ms,213.708088ms
36.549871ms,261.660843ms
73.972349ms,305.297367ms
97.366424ms,248.529246ms
43.803225ms,254.492289ms
24.606383ms,188.277298ms
43.341422ms,258.846058ms
32.69666ms,190.925237ms
39.627194ms,228.920342ms
51.105448ms,392.644035ms
29.966002ms,249.100518ms
26.14068ms,371.45229ms
64.125424ms,443.544141ms
61.486619ms,319.579238ms
79.942347ms,361.104728ms
100.626371ms,264.580751ms
85.689782ms,302.719437ms
32.61471ms,116.921721ms
136.524657ms,259.102689ms
25.061993ms,171.426776ms
19.045886ms,88.959755ms
19.931623ms,83.661641ms
25.456698ms,205.774833ms
29.99541ms,139.173828ms
97.423616ms,190.615889ms
31.878652ms,158.001497ms
36.546559ms,203.440258ms
23.995911ms,168.996543ms
30.398268ms,258.608038ms
21.334323ms,182.523944ms
26.858252ms,180.197942ms
31.117754ms,153.865525ms
17.461619ms,188.895993ms
15.681459ms,155.791924ms
12.980959ms,245.153756ms
34.369995ms,99.615549ms
14.032132ms,232.051592ms
46.19269ms,254.812092ms
44.120669ms,264.450648ms
29.975721ms,190.096994ms
56.83856ms,121.60611ms
